num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,f4ce1_00000,2025-12-17_13-21-24,1765957884,61.858649492263794,61.858649492263794,19616,LAPTOP-HQRQ0VAR,127.0.0.1,61.858649492263794,1,60.366051799999696,3.3600000278966036e-05,60.36557569999968,60.36541010000019,0,0,0,13.674157303370787,81.03033707865168
1,0,False,2,f4ce1_00000,2025-12-17_13-21-26,1765957886,1.9535536766052246,63.81220316886902,19616,LAPTOP-HQRQ0VAR,127.0.0.1,63.81220316886902,2,59.7819380139997,0.019573581000277045,59.76192355899968,59.76175884500019,0,0,0,42.1,74.83333333333333
1,0,False,3,f4ce1_00000,2025-12-17_13-21-28,1765957888,1.9654066562652588,65.77760982513428,19616,LAPTOP-HQRQ0VAR,127.0.0.1,65.77760982513428,3,59.2037610568597,0.03901566919027555,59.164306943409684,59.16414346555018,0,0,0,32.833333333333336,77.76666666666667
1,0,False,4,f4ce1_00000,2025-12-17_13-21-30,1765957890,1.984285831451416,67.7618956565857,19616,LAPTOP-HQRQ0VAR,127.0.0.1,67.7618956565857,4,58.6315499712911,0.05844555349837547,58.57266751897559,58.572504966894684,0,0,0,37.43333333333334,80.6
1,0,False,5,f4ce1_00000,2025-12-17_13-21-32,1765957892,1.981896162033081,69.74379181861877,19616,LAPTOP-HQRQ0VAR,127.0.0.1,69.74379181861877,5,58.06505248057819,0.07767187196338948,57.98694508378585,57.98678339322574,0,0,0,43.3,82.95
1,0,False,6,f4ce1_00000,2025-12-17_13-21-35,1765957895,1.9657666683197021,71.70955848693848,19616,LAPTOP-HQRQ0VAR,127.0.0.1,71.70955848693848,6,57.50405630677241,0.09654438324375103,57.40707859294799,57.406918054293484,0,0,0,33.36666666666667,83.53333333333333
1,0,False,7,f4ce1_00000,2025-12-17_13-21-37,1765957897,1.9773023128509521,73.68686079978943,19616,LAPTOP-HQRQ0VAR,127.0.0.1,73.68686079978943,7,56.94878101570468,0.11533424341131376,56.8330139980185,56.83285403075055,0,0,0,24.2,84.69999999999999
1,0,False,8,f4ce1_00000,2025-12-17_13-22-39,1765957959,62.34901142120361,136.03587222099304,19616,LAPTOP-HQRQ0VAR,127.0.0.1,136.03587222099304,8,56.983883924547634,0.1146338509771996,56.868817278038314,56.86865758144304,0,2,0,11.67303370786517,85.31348314606741
1,0,False,9,f4ce1_00000,2025-12-17_13-22-41,1765957961,1.9815278053283691,138.0174000263214,19616,LAPTOP-HQRQ0VAR,127.0.0.1,138.0174000263214,9,56.433877456302156,0.13331509446742568,56.30013214025793,56.2999736056286,0,2,0,37.9,76.93333333333334
1,0,False,10,f4ce1_00000,2025-12-17_13-22-43,1765957963,1.9647486209869385,139.98214864730835,19616,LAPTOP-HQRQ0VAR,127.0.0.1,139.98214864730835,10,55.88918819073914,0.1516236775227485,55.73713562185535,55.73697782357231,0,2,0,31.8,80.10000000000001
1,0,False,11,f4ce1_00000,2025-12-17_13-22-45,1765957965,1.9625608921051025,141.94470953941345,19616,LAPTOP-HQRQ0VAR,127.0.0.1,141.94470953941345,11,55.34991396683174,0.1697175367475268,55.179768728636795,55.179611774336585,0,2,0,32.03333333333334,83.43333333333334
1,0,False,12,f4ce1_00000,2025-12-17_13-22-47,1765957967,1.9656195640563965,143.91032910346985,19616,LAPTOP-HQRQ0VAR,127.0.0.1,143.91032910346985,12,54.81606900416342,0.18766544638005345,54.62797372535043,54.62781789959323,0,2,0,34.5,84.66666666666667
