num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,b4742_00000,2025-12-17_19-03-05,1765978385,61.809162855148315,61.809162855148315,7064,LAPTOP-HQRQ0VAR,127.0.0.1,61.809162855148315,1,60.43605789999856,1.550000160932541e-05,60.43575780000174,60.43567249999978,0,0,0,10.415730337078653,88.1876404494382
1,0,False,2,b4742_00000,2025-12-17_19-03-07,1765978387,1.941284418106079,63.750447273254395,7064,LAPTOP-HQRQ0VAR,127.0.0.1,63.750447273254395,2,59.85110755499856,0.019418159001579626,59.831404034001714,59.83131874199979,0,0,0,38.00000000000001,70.73333333333333
1,0,False,3,b4742_00000,2025-12-17_19-03-09,1765978389,1.9633102416992188,65.71375751495361,7064,LAPTOP-HQRQ0VAR,127.0.0.1,65.71375751495361,3,59.27222082944859,0.03884245941156915,59.23309316266171,59.23300811057979,0,0,0,29.100000000000005,73.10000000000001
1,0,False,4,b4742_00000,2025-12-17_19-03-11,1765978391,1.9708850383758545,67.68464255332947,7064,LAPTOP-HQRQ0VAR,127.0.0.1,67.68464255332947,4,58.69919910315411,0.0581501088174384,58.64076482003509,58.64068021247399,0,0,0,34.3,74.45
1,0,False,5,b4742_00000,2025-12-17_19-03-13,1765978393,1.9732105731964111,69.65785312652588,7064,LAPTOP-HQRQ0VAR,127.0.0.1,69.65785312652588,5,58.13195463812256,0.07730916472926865,58.05436140683475,58.05427695034924,0,0,0,38.766666666666666,79.33333333333334
1,0,False,6,b4742_00000,2025-12-17_19-03-15,1765978395,1.9824411869049072,71.64029431343079,7064,LAPTOP-HQRQ0VAR,127.0.0.1,71.64029431343079,6,57.57046159474134,0.09635802108200213,57.4738203047664,57.47373628184574,0,0,0,32.333333333333336,81.06666666666666
1,0,False,7,b4742_00000,2025-12-17_19-03-17,1765978397,1.9916260242462158,73.631920337677,7064,LAPTOP-HQRQ0VAR,127.0.0.1,73.631920337677,7,57.0146602847939,0.11527620187117903,56.89908912271871,56.89900472702727,0,0,0,23.266666666666666,82.33333333333333
1,0,False,8,b4742_00000,2025-12-17_19-04-19,1765978459,62.35898494720459,135.9909052848816,7064,LAPTOP-HQRQ0VAR,127.0.0.1,135.9909052848816,8,57.04928777994597,0.11443520485247306,56.934558715491534,56.93447425275701,0,2,0,11.780898876404494,83.8932584269663
1,0,False,9,b4742_00000,2025-12-17_19-04-21,1765978461,1.9638221263885498,137.95472741127014,7064,LAPTOP-HQRQ0VAR,127.0.0.1,137.95472741127014,9,56.49844180014654,0.13293368180395232,56.365215197336624,56.36513120722942,0,2,0,32.0,77.46666666666667
1,0,False,10,b4742_00000,2025-12-17_19-04-23,1765978463,1.9874391555786133,139.94216656684875,7064,LAPTOP-HQRQ0VAR,127.0.0.1,139.94216656684875,10,55.953311401145086,0.15145451098590934,55.80156527536329,55.80148172715714,0,2,0,35.13333333333333,80.06666666666666
1,0,False,11,b4742_00000,2025-12-17_19-04-25,1765978465,1.9872605800628662,141.92942714691162,7064,LAPTOP-HQRQ0VAR,127.0.0.1,141.92942714691162,11,55.41363982213362,0.16979694987604843,55.24355214460969,55.243469030885564,0,2,0,32.666666666666664,83.36666666666666
