num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,ef1fd_00000,2025-12-17_18-21-47,1765975907,61.47180247306824,61.47180247306824,10232,LAPTOP-HQRQ0VAR,127.0.0.1,61.47180247306824,1,60.45716589999938,1.5699999494245276e-05,60.45690639999884,60.45678400000179,0,0,0,10.239772727272728,88.8875
1,0,False,2,ef1fd_00000,2025-12-17_18-21-49,1765975909,1.9404678344726562,63.412270307540894,10232,LAPTOP-HQRQ0VAR,127.0.0.1,63.412270307540894,2,59.87199043999939,0.019406043999515534,59.85234039999883,59.852218556001795,0,0,0,47.9,84.10000000000001
1,0,False,3,ef1fd_00000,2025-12-17_18-21-51,1765975911,1.9756639003753662,65.38793420791626,10232,LAPTOP-HQRQ0VAR,127.0.0.1,65.38793420791626,3,59.293010301599416,0.038947222559521835,59.25381935999883,59.253698329441775,0,0,0,27.566666666666666,83.36666666666666
1,0,False,4,ef1fd_00000,2025-12-17_18-21-53,1765975913,1.9807488918304443,67.3686830997467,10232,LAPTOP-HQRQ0VAR,127.0.0.1,67.3686830997467,4,58.719873996583416,0.05834569133392166,58.66128506439883,58.661164727147344,0,0,0,29.3,85.23333333333333
1,0,False,5,ef1fd_00000,2025-12-17_18-21-55,1765975915,1.9889464378356934,69.3576295375824,10232,LAPTOP-HQRQ0VAR,127.0.0.1,69.3576295375824,5,58.15254628661758,0.07762631242061024,58.074676387754835,58.07455646787587,0,0,0,30.96666666666667,88.09999999999998
1,0,False,6,ef1fd_00000,2025-12-17_18-21-57,1765975917,1.9634158611297607,71.32104539871216,10232,LAPTOP-HQRQ0VAR,127.0.0.1,71.32104539871216,6,57.5906424867514,0.09646513129642259,57.49393329587727,57.4938139011971,0,0,0,46.0,88.73333333333333
1,0,False,7,ef1fd_00000,2025-12-17_18-21-59,1765975919,1.9501137733459473,73.2711591720581,10232,LAPTOP-HQRQ0VAR,127.0.0.1,73.2711591720581,7,57.03423370388388,0.11499276598344442,56.918996539918474,56.91887779618516,0,0,0,42.36666666666667,90.43333333333332
1,0,False,8,ef1fd_00000,2025-12-17_18-23-02,1765975982,62.42831587791443,135.69947504997253,10232,LAPTOP-HQRQ0VAR,127.0.0.1,135.69947504997253,8,57.06821939784504,0.11410972232358509,56.9538653535193,56.953746638223286,0,2,0,11.178651685393259,88.20674157303371
1,0,False,9,ef1fd_00000,2025-12-17_18-23-04,1765975984,1.9897985458374023,137.68927359580994,10232,LAPTOP-HQRQ0VAR,127.0.0.1,137.68927359580994,9,56.51745282986659,0.13287834510034524,56.3843302199841,56.38421198584105,0,2,0,32.4,75.6
1,0,False,10,ef1fd_00000,2025-12-17_18-23-06,1765975986,1.9819231033325195,139.67119669914246,10232,LAPTOP-HQRQ0VAR,127.0.0.1,139.67119669914246,10,55.97208446156793,0.15135161864935712,55.820489366784244,55.82037188198263,0,2,0,30.1,77.85
1,0,False,11,ef1fd_00000,2025-12-17_18-23-08,1765975988,1.9683711528778076,141.63956785202026,10232,LAPTOP-HQRQ0VAR,127.0.0.1,141.63956785202026,11,55.432038210952236,0.16950831446288264,55.262287026116375,55.2621702651628,0,2,0,35.900000000000006,80.76666666666667
1,0,False,12,ef1fd_00000,2025-12-17_18-23-10,1765975990,1.9848589897155762,143.62442684173584,10232,LAPTOP-HQRQ0VAR,127.0.0.1,143.62442684173584,12,54.89757591684271,0.18766416131824706,54.7096665338552,54.709550495511195,0,2,0,34.73333333333334,81.89999999999999
