num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,6818f_00000,2025-12-17_19-22-30,1765979550,61.43854022026062,61.43854022026062,11992,LAPTOP-HQRQ0VAR,127.0.0.1,61.43854022026062,1,60.40312370000174,2.680000034160912e-05,60.40274529999806,60.40261730000202,0,0,0,11.756818181818181,89.24545454545454
1,0,False,2,6818f_00000,2025-12-17_19-22-32,1765979552,1.957463026046753,63.39600324630737,11992,LAPTOP-HQRQ0VAR,127.0.0.1,63.39600324630737,2,59.81870864500172,0.0195830710003429,59.79872413499808,59.79859616100199,0,0,0,33.5,87.5
1,0,False,3,6818f_00000,2025-12-17_19-22-34,1765979554,1.9577062129974365,65.35370945930481,11992,LAPTOP-HQRQ0VAR,127.0.0.1,65.35370945930481,3,59.24006693855172,0.03892800629036683,59.20073930064813,59.200612169391945,0,0,0,21.3,86.66666666666667
1,0,False,4,6818f_00000,2025-12-17_19-22-36,1765979556,1.9617247581481934,67.315434217453,11992,LAPTOP-HQRQ0VAR,127.0.0.1,67.315434217453,4,58.66726694816624,0.05813172422747052,58.60873651964166,58.60861001169801,0,0,0,22.8,87.76666666666667
1,0,False,5,6818f_00000,2025-12-17_19-22-38,1765979558,1.9744236469268799,69.28985786437988,11992,LAPTOP-HQRQ0VAR,127.0.0.1,69.28985786437988,5,58.10032037968455,0.07726590298518561,58.022655575445235,58.02252902458104,0,0,0,18.2,88.3
1,0,False,6,6818f_00000,2025-12-17_19-22-40,1765979560,1.949922800064087,71.23978066444397,11992,LAPTOP-HQRQ0VAR,127.0.0.1,71.23978066444397,6,57.5388018628877,0.09596667795532603,57.44243625769078,57.44230954933523,0,0,0,21.399999999999995,89.53333333333335
1,0,False,7,6818f_00000,2025-12-17_19-22-42,1765979562,1.9565629959106445,73.19634366035461,11992,LAPTOP-HQRQ0VAR,127.0.0.1,73.19634366035461,7,56.98297967125883,0.11456605517575238,56.86801595711385,56.86788953084188,0,0,0,21.25,89.75
1,0,False,8,6818f_00000,2025-12-17_19-22-44,1765979564,1.9706165790557861,75.1669602394104,11992,LAPTOP-HQRQ0VAR,127.0.0.1,75.1669602394104,8,56.43284391154625,0.13310564362398952,56.29934168154273,56.299215204533475,0,0,0,15.666666666666666,89.96666666666665
1,0,False,9,6818f_00000,2025-12-17_19-22-46,1765979566,1.9681782722473145,77.13513851165771,11992,LAPTOP-HQRQ0VAR,127.0.0.1,77.13513851165771,9,55.88818348843078,0.15142448518773838,55.7363619197273,55.73622818848814,0,0,0,18.133333333333333,90.7
1,0,True,10,6818f_00000,2025-12-17_19-23-49,1765979629,62.36538600921631,139.50052452087402,11992,LAPTOP-HQRQ0VAR,127.0.0.1,139.50052452087402,10,55.93381895854648,0.15050469533588867,55.78291860053002,55.78278452360324,0,1,0,11.792134831460674,83.11573033707865
