num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,627ac_00000,2025-12-17_13-38-37,1765958917,61.657930850982666,61.657930850982666,11112,LAPTOP-HQRQ0VAR,127.0.0.1,61.657930850982666,1,60.41646760000003,2.8200000087963417e-05,60.415982800001075,60.415838000000804,0,0,0,10.452808988764046,90.03595505617976
1,0,False,2,627ac_00000,2025-12-17_13-38-39,1765958919,1.9523487091064453,63.61027956008911,11112,LAPTOP-HQRQ0VAR,127.0.0.1,63.61027956008911,2,59.83182731500003,0.019543215000085185,59.81182804700105,59.811683564000795,0,0,0,46.4,82.23333333333333
1,0,False,3,627ac_00000,2025-12-17_13-38-41,1765958921,1.9749846458435059,65.58526420593262,11112,LAPTOP-HQRQ0VAR,127.0.0.1,65.58526420593262,3,59.25326419085004,0.03909816685008337,59.21371216553103,59.21356860836081,0,0,0,29.65,84.25
1,0,False,4,627ac_00000,2025-12-17_13-38-43,1765958923,1.9817984104156494,67.56706261634827,11112,LAPTOP-HQRQ0VAR,127.0.0.1,67.56706261634827,4,58.68052874294155,0.0584966821815841,58.621580125875724,58.621437239277206,0,0,0,29.433333333333334,85.90000000000002
1,0,False,5,627ac_00000,2025-12-17_13-38-45,1765958925,1.9626951217651367,69.5297577381134,11112,LAPTOP-HQRQ0VAR,127.0.0.1,69.5297577381134,5,58.11334779451214,0.07752866735976494,58.035368518616956,58.03522615388443,0,0,0,34.46666666666667,88.43333333333334
1,0,False,6,627ac_00000,2025-12-17_13-38-47,1765958927,1.9736757278442383,71.50343346595764,11112,LAPTOP-HQRQ0VAR,127.0.0.1,71.50343346595764,6,57.55194093056701,0.09647468068616835,57.4550180914308,57.454876329345595,0,0,0,29.399999999999995,89.8
1,0,False,7,627ac_00000,2025-12-17_13-38-49,1765958929,1.9732537269592285,73.47668719291687,11112,LAPTOP-HQRQ0VAR,127.0.0.1,73.47668719291687,7,56.996165307261336,0.11524805687931311,56.880470900516485,56.88032999405215,0,0,0,29.53333333333333,90.89999999999999
1,0,False,8,627ac_00000,2025-12-17_13-39-52,1765958992,62.42780828475952,135.9044954776764,11112,LAPTOP-HQRQ0VAR,127.0.0.1,135.9044954776764,8,57.03132876118873,0.11446383931052027,56.91642031051133,56.916279591111625,0,2,0,26.278651685393257,90.62247191011235
1,0,False,9,627ac_00000,2025-12-17_13-39-54,1765958994,1.931304693222046,137.83580017089844,11112,LAPTOP-HQRQ0VAR,127.0.0.1,137.83580017089844,9,56.48029833357685,0.1325959379174152,56.34725934240622,56.34711936120051,0,2,0,43.0,82.43333333333334
1,0,False,10,627ac_00000,2025-12-17_13-39-56,1765958996,1.9628055095672607,139.7986056804657,11112,LAPTOP-HQRQ0VAR,127.0.0.1,139.7986056804657,10,55.93512338924108,0.1508898775382313,55.78379123998216,55.783651794588515,0,2,0,37.300000000000004,83.93333333333334
1,0,False,11,627ac_00000,2025-12-17_13-39-58,1765958998,1.9123661518096924,141.7109718322754,11112,LAPTOP-HQRQ0VAR,127.0.0.1,141.7109718322754,11,55.394904197348666,0.16850417576283885,55.22595851858234,55.22581958164263,0,2,0,32.1,84.56666666666668
1,0,False,12,627ac_00000,2025-12-17_13-40-00,1765959000,1.923752784729004,143.6347246170044,11112,LAPTOP-HQRQ0VAR,127.0.0.1,143.6347246170044,12,54.86019009737518,0.18603580100521105,54.67370522039651,54.6735663068262,0,2,0,39.05,84.95
1,0,False,13,627ac_00000,2025-12-17_13-40-02,1765959002,1.8737297058105469,145.50845432281494,11112,LAPTOP-HQRQ0VAR,127.0.0.1,145.50845432281494,13,54.330314646401426,0.2028936679951704,54.126972076192565,54.12683364775795,0,2,0,33.43333333333334,85.76666666666667
