num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,04d5b_00000,2025-12-17_18-36-36,1765976796,62.08633732795715,62.08633732795715,27544,LAPTOP-HQRQ0VAR,127.0.0.1,62.08633732795715,1,60.44127809999918,1.6199999663513154e-05,60.440980199997284,60.44084529999964,0,0,0,10.249438202247191,88.66741573033708
1,0,False,2,04d5b_00000,2025-12-17_18-36-38,1765976798,1.951509714126587,64.03784704208374,27544,LAPTOP-HQRQ0VAR,127.0.0.1,64.03784704208374,2,59.856379399999206,0.019523171999644547,59.83657399299733,59.83643957199961,0,0,0,42.86666666666667,84.5
1,0,False,3,04d5b_00000,2025-12-17_18-36-40,1765976800,1.9755568504333496,66.01340389251709,27544,LAPTOP-HQRQ0VAR,127.0.0.1,66.01340389251709,3,59.27758198299919,0.039090324279635026,59.23821059906736,59.23807710027964,0,0,0,31.399999999999995,86.60000000000001
1,0,False,4,04d5b_00000,2025-12-17_18-36-42,1765976802,1.9790427684783936,67.99244666099548,27544,LAPTOP-HQRQ0VAR,127.0.0.1,67.99244666099548,4,58.70460445816919,0.05849297503682762,58.64583152707669,58.64569892727684,0,0,0,33.56666666666667,88.39999999999999
1,0,False,5,04d5b_00000,2025-12-17_18-36-44,1765976804,1.9859793186187744,69.97842597961426,27544,LAPTOP-HQRQ0VAR,127.0.0.1,69.97842597961426,5,58.137411510587484,0.07775595528648521,58.05937628980589,58.059244552004074,0,0,0,39.699999999999996,91.36666666666667
1,0,False,6,04d5b_00000,2025-12-17_18-36-46,1765976806,1.9764392375946045,71.95486521720886,27544,LAPTOP-HQRQ0VAR,127.0.0.1,71.95486521720886,6,57.575798872481606,0.096731855733613,57.478787383907815,57.47865620448406,0,0,0,31.166666666666668,92.60000000000001
1,0,False,7,04d5b_00000,2025-12-17_18-36-49,1765976809,1.9844863414764404,73.9393515586853,27544,LAPTOP-HQRQ0VAR,127.0.0.1,73.9393515586853,7,57.01984426175682,0.1155600451762652,56.904004429068756,56.90387362143921,0,0,0,13.4,93.25
1,0,False,8,04d5b_00000,2025-12-17_18-37-51,1765976871,62.41676950454712,136.35612106323242,27544,LAPTOP-HQRQ0VAR,127.0.0.1,136.35612106323242,8,57.05442070313926,0.11463646372449804,56.93950489177805,56.939374423224805,0,2,0,10.954444444444446,92.16555555555557
1,0,False,9,04d5b_00000,2025-12-17_18-37-53,1765976873,1.9785265922546387,138.33464765548706,27544,LAPTOP-HQRQ0VAR,127.0.0.1,138.33464765548706,9,56.50365587210786,0.1332649870872457,56.370112686860274,56.369982977992564,0,2,0,35.05,72.0
1,0,False,10,04d5b_00000,2025-12-17_18-37-55,1765976875,1.9876556396484375,140.3223032951355,27544,LAPTOP-HQRQ0VAR,127.0.0.1,140.3223032951355,10,55.9584491663868,0.1517567392163862,55.806414653991695,55.806285654212616,0,2,0,30.76666666666667,74.56666666666666
1,0,False,11,04d5b_00000,2025-12-17_18-37-57,1765976877,1.9845454692840576,142.30684876441956,27544,LAPTOP-HQRQ0VAR,127.0.0.1,142.30684876441956,11,55.41871263572294,0.17008294382420797,55.24835305145176,55.2482249156705,0,2,0,31.599999999999998,77.86666666666666
1,0,False,12,04d5b_00000,2025-12-17_18-37-59,1765976879,1.9880318641662598,144.29488062858582,27544,LAPTOP-HQRQ0VAR,127.0.0.1,144.29488062858582,12,54.884418538365686,0.18826649338596144,54.69587223893724,54.69574496651377,0,2,0,31.700000000000003,78.96666666666665
1,0,False,13,04d5b_00000,2025-12-17_18-38-01,1765976881,1.9648959636688232,146.25977659225464,27544,LAPTOP-HQRQ0VAR,127.0.0.1,146.25977659225464,13,54.355201937982045,0.20600494845211254,54.148917410547874,54.148790645848635,0,2,0,21.233333333333334,80.36666666666666
1,0,False,14,04d5b_00000,2025-12-17_18-39-04,1765976944,62.467501640319824,208.72727823257446,27544,LAPTOP-HQRQ0VAR,127.0.0.1,208.72727823257446,14,54.41685909960221,0.20412672496759868,54.212453258442366,54.21232665739016,0,4,0,10.741573033707866,81.06629213483146
1,0,False,15,04d5b_00000,2025-12-17_18-39-06,1765976946,1.9667372703552246,210.6940155029297,27544,LAPTOP-HQRQ0VAR,127.0.0.1,210.6940155029297,15,53.89235415660622,0.2217449617179329,53.67033100285793,53.67020526081623,0,4,0,33.03333333333333,77.16666666666667
1,0,False,16,04d5b_00000,2025-12-17_18-39-08,1765976948,1.981367588043213,212.6753830909729,27544,LAPTOP-HQRQ0VAR,127.0.0.1,212.6753830909729,16,53.37323068504017,0.2393214611007671,53.133631063829334,53.13350581520805,0,4,0,30.766666666666666,80.13333333333334
1,0,False,17,04d5b_00000,2025-12-17_18-39-10,1765976950,1.9644279479980469,214.63981103897095,27544,LAPTOP-HQRQ0VAR,127.0.0.1,214.63981103897095,17,52.859141911189745,0.2565653754897619,52.602298360191035,52.602173556056,0,4,0,33.53333333333333,82.89999999999999
